Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Operations,100047,2844,Had other major operations,272918,309268,Complete,Categorical single,"",Data,Primary,Female,4,1,100603,"ACE touchscreen question ""Have you had any other major operations? (for example, operations that required an overnight stay in hospital)"" If the participant activated the Help button they were shown the message:     If you are unsure if you have had a 'major' operation select Do not know and you will be asked about this by an interviewer later during this visit.        The  other  refers to operations other than hysterectomy and bilateral oophorectomy.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2844
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,2867,Age started smoking in former smokers,123422,137662,Complete,Integer,years,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""How old were you when you first started smoking on most days?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer    ~F2867~ was collected from participants who indicated that in the past they smoked on most or all days, as defined by their answers to ~F1249~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2867
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,2877,Type of tobacco previously smoked,123422,137662,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100351,"ACE touchscreen question ""What type of tobacco did you usually smoke?"" If the participant activated the Help button they were shown the message:     If you smoked both hand-rolled and manufactured cigarettes select the one that you smoked more of.      ~F2877~ was collected from participants who indicated that in the past they smoked on most or all days, as defined by their answers to ~F1249~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2877
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,2887,Number of cigarettes previously smoked daily,117941,131324,Complete,Integer,cigarettes/day,Data,Primary,Unisex,4,1,100353,"ACE touchscreen question ""About how many cigarettes did you smoke on average each day? "" The following checks were performed:  If answer   If answer > 150 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Count the total number of cigarettes (including both hand-rolled and manufactured cigarettes if both were smoked) For hand-rolled cigarettes:   - One ounce of tobacco makes about 30 cigarettes   - One gram of tobacco makes about 1 cigarette      ~F2887~ was collected from participants who indicated that in the past they smoked on most or all days, as defined by their answers to ~F1249~ and they smoked manufactured or hand-rolled cigarettes in the past, as defined by their answers to ~F1249~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2887
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,2897,Age stopped smoking,123422,137662,Complete,Integer,years,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""How old were you when you last smoked on most days?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer    ~F2897~ was collected from participants who indicated that in the past they smoked tobacco on most or all days, as defined by their answers to ~F1249~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2897
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,2907,Ever stopped smoking for 6+ months,122664,136732,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""In the time that you smoked, did you ever stop for more than 6 months?"" ~F2907~ was collected from participants who indicated that in the past they smoked tobacco on most or all days, as defined by their answers to ~F1249~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2907
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,2926,Number of unsuccessful stop-smoking attempts,122664,136732,Complete,Integer,"",Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""How many times did you try to give up smoking before you were successful?"" The following checks were performed:  If answer   If answer > 200 then rejected  If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2926~ was collected from participants who indicated that in the past they smoked tobacco on most or all days, as defined by their answers to ~F1249~ and that during the time they smoked they stopped for more than 6 months, as defined by their answers to ~F1249~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2926
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,2936,Likelihood of resuming smoking,122664,136732,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100369,"ACE touchscreen question ""Do you think you may start smoking again?"" ~F2936~ was collected from participants who indicated that in the past they smoked tobacco on most or all days, as defined by their answers to ~F1249~ and that during the time they smoked they stopped for more than 6 months, as defined by their answers to ~F1249~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2936
UK Biobank Assessment Centre > Touchscreen > Family history,100034,2946,Father's age,114724,124362,Complete,Integer,years,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""What is his age now?"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F2946~ was collected from participants who indicated their father is still alive, as defined by their answers to ~F1797~ or, if they are adopted, their adopted father is still alive, as defined by their answers to ~F1797~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2946
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Pain,100048,2956,General pain for 3+ months,9343,9537,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Have you had pains all over the body for more than 3 months?"" ~F2956~ was collected from participants who indicated that in the last month they experienced pain all over the body that interfered with their usual activities, as defined by their answers to ~F6159~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2956
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,2966,Age high blood pressure diagnosed,140495,153599,Complete,Integer,years,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""What was your age when the high blood pressure was first diagnosed?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 69 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2966~ was collected from participants who indicated they were told by a doctor that they have had high blood pressure, as defined by their answers to ~F6150~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2966
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,2976,Age diabetes diagnosed,26945,29109,Complete,Integer,years,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""What was your age when the diabetes was first diagnosed?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 69 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2976~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2976
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,2986,Started insulin within one year diagnosis of diabetes,26970,29135,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Did you start insulin within one year of your diagnosis of diabetes?"" ~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2986
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,3005,Fracture resulting from simple fall,52059,53927,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Did the fracture result from a simple fall (i.e. from standing height)?"" If the participant activated the Help button they were shown the message:     A simple fall is any fall from standing height or lower. For example if you trip and fall over, this is a simple fall.  Falls from a stool or chair that you are sitting on are also counted as simple.  Falls from anything higher ie: down a flight of stairs, from a ladder, from standing on a stool or chair are NOT simple falls. If you have had more than one fracture in the last 5 years, select YES if any one of the fractures resulted from a simple fall.      ~F3005~ was collected from participants who indicated they have had fractured/broken bones in the last 5 years, as defined by their answers to ~F2463~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3005
UK Biobank Assessment Centre > Physical measures > Spirometry,100020,3059,Result ranking,457476,1412511,Complete,Categorical single,"",Data,Primary,Unisex,4,3,22,How good was each blow; 1=best; 3=worst,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3059
